City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapoeta,4.7717,33.5903,72.75,59,67,4.85,SS,1627962088
Nueva Granada,9.8017,-74.393,74.97,93,99,6.22,CO,1627962088
Maroantsetra,-15.4333,49.7333,65.1,87,46,3.53,MG,1627962088
Omboué,-1.5746,9.2618,73.76,89,96,4.21,GA,1627961857
Gornopravdinsk,60.05,69.9,57.49,96,100,7.05,RU,1627962089
Labuhan,-6.8844,112.2051,87.82,58,8,4.65,ID,1627962089
Saint Paul Harbor,57.79,-152.4072,54.91,76,90,10.36,US,1627962089
Qiongshan,20.0058,110.3542,85.98,84,75,11.18,CN,1627962090
Kapaa,22.0752,-159.319,84.18,77,40,4,US,1627962090
Jacareacanga,-6.2222,-57.7528,77.45,58,63,2.82,BR,1627962090
Great Bend,38.3645,-98.7648,70.88,52,1,5.75,US,1627962091
Wahpeton,46.2652,-96.6059,73.22,82,75,9.22,US,1627961874
Chauk,20.8833,94.8167,82.56,74,98,10.49,MM,1627962091
Vaini,-21.2,-175.2,75.36,64,20,12.66,TO,1627962092
Bethel,41.3712,-73.414,68.31,82,1,3.44,US,1627962092
Broome,42.2506,-75.833,57.56,81,0,0.2,US,1627962092
Kajaani,64.2273,27.7285,57.25,94,90,9.22,FI,1627962092
Mataura,-46.1927,168.8643,49.48,79,24,3.56,NZ,1627962093
Måløy,61.9353,5.1136,51.53,85,37,10.83,NO,1627962093
Kargasok,59.0556,80.8572,62.78,75,81,4.16,RU,1627962093
Bredasdorp,-34.5322,20.0403,51.12,93,5,3.44,ZA,1627962094
Santa Isabel Rio Negro,-0.4139,-65.0192,74.68,73,100,2.37,BR,1627962094
Arraial do Cabo,-22.9661,-42.0278,66.06,82,0,9.22,BR,1627962094
Pajapan,18.25,-94.7,77.32,77,83,5.55,MX,1627962094
Upernavik,72.7868,-56.1549,46.6,70,96,10.18,GL,1627962095
Pangani,-5.4333,38.9667,70.75,85,63,7.05,TZ,1627962095
Klaksvík,62.2266,-6.589,49.12,89,100,12.75,FO,1627961846
Port Alfred,-33.5906,26.891,54.23,83,0,10.54,ZA,1627962096
Russell,32.3502,-85.1999,73,88,75,0,US,1627962033
Bluff,-46.6,168.3333,49.8,60,34,6.35,NZ,1627962096
Saskylakh,71.9167,114.0833,73.85,35,25,9.42,RU,1627962096
Ol'ga,43.7444,135.2892,72.01,85,95,4.81,RU,1627962097
Atuona,-9.8,-139.0333,77.68,73,5,18.9,PF,1627962097
Chui,-33.6971,-53.4616,47.7,95,0,3.91,UY,1627962097
Praia,14.9215,-23.5087,77.54,83,20,6.91,CV,1627961837
Busselton,-33.65,115.3333,57.09,75,100,5.41,AU,1627962098
Longyearbyen,78.2186,15.6401,44.44,70,75,18.41,SJ,1627962098
Tura,25.5198,90.2201,80.11,90,100,4.27,IN,1627962098
Salinópolis,-0.6136,-47.3561,77.61,79,52,4.83,BR,1627962099
Thompson,55.7435,-97.8558,62.76,67,75,2.3,CA,1627962099
Ushuaia,-54.8,-68.3,37.06,87,40,18.41,AR,1627962099
Esperance,-33.8667,121.9,58.84,67,80,15.41,AU,1627961905
Lorengau,-2.0226,147.2712,85.26,70,41,10.29,PG,1627962100
Vestmannaeyjar,63.4427,-20.2734,52.72,83,100,6.73,IS,1627962100
Doha,25.2867,51.5333,100.38,49,16,1.14,QA,1627962100
Jamestown,42.097,-79.2353,60.44,78,1,2.33,US,1627962100
Pag,44.445,15.0575,59.58,58,73,7.31,HR,1627962101
Saldanha,-33.0117,17.9442,44.65,63,0,2.3,ZA,1627962101
Ahipara,-35.1667,173.1667,55.42,81,33,22.59,NZ,1627962101
Beloha,-25.1667,45.05,61.84,75,46,5.19,MG,1627962102
Mana,5.6592,-53.7767,77.02,84,87,5.64,GF,1627962102
Uruçuí,-7.2294,-44.5561,72.45,49,15,7.05,BR,1627962102
Rikitea,-23.1203,-134.9692,69.22,57,66,20.56,PF,1627962103
Nanortalik,60.1432,-45.2371,43.9,97,100,4.79,GL,1627961843
Port-de-Bouc,43.4,4.9833,66.96,82,0,8.05,FR,1627962103
Jalu,29.0331,21.5482,82.72,29,0,6.98,LY,1627962104
Lorena,-22.7308,-45.1247,59.54,92,1,1.74,BR,1627962104
Norman Wells,65.282,-126.8329,86.04,26,20,8.05,CA,1627962104
Yellowknife,62.456,-114.3525,81.12,32,75,5.75,CA,1627962105
Provideniya,64.3833,-173.3,53.71,82,90,13.42,RU,1627962105
Shitkino,56.3703,98.3543,75.65,50,8,4.14,RU,1627962105
Cabo San Lucas,22.8909,-109.9124,90.7,68,7,8.99,MX,1627962106
Hermanus,-34.4187,19.2345,56.89,71,0,3.56,ZA,1627962106
Port Elizabeth,-33.918,25.5701,48.49,93,75,4.61,ZA,1627961878
Moose Factory,51.2585,-80.6094,51.8,87,90,0,CA,1627962106
Puerto Ayora,-0.7393,-90.3518,70.72,91,63,9.57,EC,1627962107
Dakar,14.6937,-17.4441,77.88,94,40,6.91,SN,1627962107
Butaritari,3.0707,172.7902,81.21,76,39,4.85,KI,1627962107
Shimoda,34.6667,138.95,89.96,74,71,7.36,JP,1627962107
Albany,42.6001,-73.9662,59.59,86,0,4.09,US,1627962006
Sayyan,15.1718,44.3244,64,57,91,4.32,YE,1627962108
Hudson Bay,52.85,-102.3842,72.18,45,92,1.1,CA,1627962108
Berdigestyakh,62.0989,126.6992,69.37,67,100,7.45,RU,1627961870
Matagami,49.7502,-77.6328,59.11,94,90,10.36,CA,1627962109
Avarua,-21.2078,-159.775,77.05,78,75,9.22,CK,1627962109
Geraldton,-28.7667,114.6,62.13,67,0,14.97,AU,1627962109
